Argus v3 evolution (17-gene reduced) — run v3, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen    1 | fit   2.083 | CAGR   72.3% | DD  34.7% | Calmar   2.08 | trades   84 | ✓
Gen  981 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  986 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  991 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen  996 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1001 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1006 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1011 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1016 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1021 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1026 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1031 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1036 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1041 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1046 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
Gen 1051 | fit  13.775 | CAGR  222.8% | DD  16.2% | Calmar  13.78 | trades   82 | ✓
